feature_name,next_delta,mid_price_delta,2.5min_mean_price_delta
price,-0.025841524,-0.007564507,0.053996055
mid_price,-0.0027002,-0.012297435,0.054741382
VW_Avg_buy_price,-0.001367335,-0.007240476,0.05498582
VW_Avg_sale_price,-0.001548626,-0.007157126,0.051327665
aggressor_side,-0.431764589,-0.037026882,0.062726774
relative_buy_vol,0.036463609,0.136946731,0.005565192
relative_sale_vol,-0.023185694,-0.105705745,0.230039963
VW_Avg_price,-0.003615696,-0.014131508,0.061240603
VW_Avg_price_minus_current_price,0.237313215,-0.077649595,0.108280684
MACD_DIF,-0.025661488,0.035134649,0.626833222
MACD_DEA,0.013056512,0.035003421,0.625165329
MACD_hist,-0.143058914,0.006456003,0.112768903
MACD_DIF_short,-0.115557215,0.023451273,0.516195042
MACD_DEA_short,-0.015290715,0.041380655,0.542057877
MACD_hist_short,-0.34877457,-0.052438622,0.032917472
RSI_3,-0.414523296,-0.022767564,0.231898381
RSI_6,-0.357014528,-0.008987472,0.336429743
RSI_12,-0.28028754,0.00718826,0.478336897
RSI_24,-0.205678143,0.013262808,0.608349551
BOLL_upper,-0.004729597,-0.0064632,0.021453232
BOLL_middle,-0.005239356,-0.007564701,0.022362522
BOLL_lower,-0.005727333,-0.008629737,0.023196215
BOLL_upper_short,-0.004729597,-0.0064632,0.021453232
BOLL_middle_short,-0.005239356,-0.007564701,0.022362522
BOLL_lower_short,-0.005727333,-0.008629737,0.023196215
bc1_minus_sc1,0.042342401,0.194491506,-0.082877618
bc2_minus_sc2,0.023690236,0.080439623,-0.157452906
bc3_minus_sc3,-0.000373511,0.017651796,-0.092616725
vol,0.000743904,0.00082521,0.033306763
amount,0.000600705,0.00101681,0.035623915
cjbs,-0.017271639,-0.006763274,0.045061017
yclose,0.003718237,0.01935866,0.055622864
buy1,-0.002626266,-0.012172045,0.054853397
buy2,-0.002484893,-0.011620723,0.05466907
buy3,-0.002477221,-0.011604028,0.054686238
buy4,-0.002480958,-0.011610477,0.054677961
buy5,-0.002473342,-0.011607067,0.054674615
sale1,-0.002773988,-0.012422009,0.054625255
sale2,-0.002714312,-0.011835528,0.054586237
sale3,-0.00270697,-0.011776774,0.054457517
sale4,-0.002688336,-0.01178136,0.054322217
sale5,-0.002719309,-0.011780233,0.054067698
bc1,0.024902977,0.118941265,0.007842733
bc2,0.01941416,0.056079728,-0.090595982
bc3,0.002822381,0.013736471,-0.072745596
bc4,-0.002096299,-0.000124441,-0.063293694
bc5,0.00379187,0.009778846,-0.043524481
sc1,-0.029239252,-0.130124744,0.109165709
sc2,-0.014649692,-0.056189882,0.122548968
sc3,0.002013681,-0.011608324,0.06052569
sc4,-0.004810623,-0.006525997,0.033955346
sc5,0.000634302,0.003241029,-0.005194102
wb,0.026853387,0.087080078,-0.084537221
lb,0.000388773,0.001873162,-0.057764092
zmm,0.422482159,-0.015149886,-0.032192398
buy_vol,-0.143538762,-0.010289323,0.096151039
buy_amount,-0.142258423,-0.010080651,0.096936575
sale_vol,0.15172275,0.011946939,-0.054729869
sale_amount,0.152294968,0.012153838,-0.053401478
w_buy,0.013639385,0.05490414,-0.082912452
w_sale,-0.0092769,-0.040826113,0.078928925
previous_2.5min_mean_price, , ,-0.065619263
